paralog_pair,gene_A,gene_B,n_cell_lines_scored,scored_in_PC9,scored_in_HeLa,prediction_PC9,prediction_HeLa
GAGE1_GAGE12C,GAGE1,GAGE12C,1,TRUE,FALSE,0.093332969,
GAGE1_GAGE12D,GAGE1,GAGE12D,1,TRUE,FALSE,0.083945535,
GAGE1_GAGE12E,GAGE1,GAGE12E,1,TRUE,FALSE,0.082439885,
GAGE1_GAGE12J,GAGE1,GAGE12J,1,TRUE,FALSE,0.089606375,
GAGE1_GAGE13,GAGE1,GAGE13,1,TRUE,FALSE,0.084388226,
GAGE1_GAGE2A,GAGE1,GAGE2A,1,TRUE,FALSE,0.025001684,
GAGE2A_GAGE10,GAGE2A,GAGE10,1,TRUE,FALSE,0.028493412,
GAGE2A_GAGE12C,GAGE2A,GAGE12C,1,TRUE,FALSE,0.038748208,
GAGE2A_GAGE12D,GAGE2A,GAGE12D,1,TRUE,FALSE,0.038331542,
GAGE2A_GAGE12E,GAGE2A,GAGE12E,1,TRUE,FALSE,0.040939882,
GAGE2A_GAGE12J,GAGE2A,GAGE12J,1,TRUE,FALSE,0.042368926,
GAGE2A_GAGE13,GAGE2A,GAGE13,1,TRUE,FALSE,0.04423745,
GGT1_GGT2P,GGT1,GGT2P,1,TRUE,FALSE,0.019981608,
GGT1_GGTLC3,GGT1,GGTLC3,1,TRUE,FALSE,0.034332152,
GOLGA6A_GOLGA6C,GOLGA6A,GOLGA6C,1,TRUE,FALSE,0.161794186,
GOLGA6A_GOLGA6D,GOLGA6A,GOLGA6D,1,TRUE,FALSE,0.158551335,
GOLGA6A_GOLGA6L1,GOLGA6A,GOLGA6L1,1,TRUE,FALSE,0.134686545,
GOLGA6A_GOLGA6L2,GOLGA6A,GOLGA6L2,2,TRUE,TRUE,0.039886624,0.153041586
GOLGA6A_GOLGA6L6,GOLGA6A,GOLGA6L6,1,TRUE,FALSE,0.218577385,
GOLGA6A_GOLGA6L7,GOLGA6A,GOLGA6L7,1,TRUE,FALSE,0.127836272,
GOLGA6A_GOLGA8A,GOLGA6A,GOLGA8A,1,TRUE,FALSE,0.080734827,
GOLGA6A_GOLGA8B,GOLGA6A,GOLGA8B,1,TRUE,FALSE,0.063835569,
GOLGA6A_GOLGA8F,GOLGA6A,GOLGA8F,1,TRUE,FALSE,0.128234729,
GOLGA6A_GOLGA8G,GOLGA6A,GOLGA8G,1,TRUE,FALSE,0.075819761,
GOLGA6A_GOLGA8H,GOLGA6A,GOLGA8H,1,TRUE,FALSE,0.142221093,
GOLGA6A_GOLGA8J,GOLGA6A,GOLGA8J,1,TRUE,FALSE,0.146412954,
GOLGA6A_GOLGA8K,GOLGA6A,GOLGA8K,1,TRUE,FALSE,0.15177995,
GOLGA6A_GOLGA8O,GOLGA6A,GOLGA8O,1,TRUE,FALSE,0.148870751,
GOLGA6A_GOLGA8Q,GOLGA6A,GOLGA8Q,1,TRUE,FALSE,0.106315583,
GOLGA6A_GOLGA8S,GOLGA6A,GOLGA8S,1,TRUE,FALSE,0.1155288,
GOLGA6A_GOLGA8T,GOLGA6A,GOLGA8T,1,TRUE,FALSE,0.105815582,
GOLGA6C_GOLGA6D,GOLGA6C,GOLGA6D,1,TRUE,FALSE,0.17315115,
GOLGA6C_GOLGA6L1,GOLGA6C,GOLGA6L1,1,TRUE,FALSE,0.141492099,
GOLGA6C_GOLGA6L2,GOLGA6C,GOLGA6L2,2,TRUE,TRUE,0.024305372,0.175618798
GOLGA6C_GOLGA6L6,GOLGA6C,GOLGA6L6,1,TRUE,FALSE,0.237345368,
GOLGA6C_GOLGA6L7,GOLGA6C,GOLGA6L7,1,TRUE,FALSE,0.137545258,
GOLGA6C_GOLGA8A,GOLGA6C,GOLGA8A,1,TRUE,FALSE,0.071039386,
GOLGA6C_GOLGA8B,GOLGA6C,GOLGA8B,1,TRUE,FALSE,0.066143706,
GOLGA6C_GOLGA8F,GOLGA6C,GOLGA8F,1,TRUE,FALSE,0.105359174,
GOLGA6C_GOLGA8G,GOLGA6C,GOLGA8G,1,TRUE,FALSE,0.094849646,
GOLGA6C_GOLGA8H,GOLGA6C,GOLGA8H,1,TRUE,FALSE,0.145670041,
GOLGA6C_GOLGA8J,GOLGA6C,GOLGA8J,1,TRUE,FALSE,0.151356846,
GOLGA6C_GOLGA8K,GOLGA6C,GOLGA8K,1,TRUE,FALSE,0.151222587,
GOLGA6C_GOLGA8O,GOLGA6C,GOLGA8O,1,TRUE,FALSE,0.15016067,
GOLGA6C_GOLGA8Q,GOLGA6C,GOLGA8Q,1,TRUE,FALSE,0.106054686,
GOLGA6C_GOLGA8S,GOLGA6C,GOLGA8S,1,TRUE,FALSE,0.114071481,
